system   D            wsystem.c:583  maybe_parent_dir                 [   0.00058] Also searching C:\Users\tombn\HeelsMackenzie\
display  D   display_settings.c:377  _al_score_display_settings       [   0.04828] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04830] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04831] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04832] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04834] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04836] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04837] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04839] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04840] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04841] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04843] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04844] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04845] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04847] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04848] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04849] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04851] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04854] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04855] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04856] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04858] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04859] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04860] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04862] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04863] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04864] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04866] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04867] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04868] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04870] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04871] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04873] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04874] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04875] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04876] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04878] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04879] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04881] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04882] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04883] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04884] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04886] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04887] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04889] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04890] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04891] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04893] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04894] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04895] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04897] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04898] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04899] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04901] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04902] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04903] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04905] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04906] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.04907] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.04909] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04910] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04911] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04913] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04914] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04916] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04917] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04918] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04919] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04921] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04922] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04924] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04925] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04926] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04928] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04929] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04930] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04932] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04933] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04935] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04936] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04939] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04940] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04942] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04943] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04944] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04946] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04947] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04948] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04950] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.04951] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.04953] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1640 d3d_create_display_internals     [   0.04955] Trying format 0.
d3d      I         d3d_disp.cpp:1325 d3d_display_thread_proc          [   0.05013] Chose a display format: 23
d3d      I         d3d_disp.cpp:1394 d3d_display_thread_proc          [   0.05016] Normal window.
d3d      I         d3d_disp.cpp:800  d3d_create_device                [   0.05882] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:865  d3d_create_device                [   0.08450] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:873  d3d_create_device                [   0.08455] Success
d3d      D         d3d_disp.cpp:1663 d3d_create_display_internals     [   0.08462] Resumed after wait.
d3d      I         d3d_disp.cpp:1696 d3d_create_display_internals     [   0.08466] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1719 d3d_create_display_internals     [   0.08469] Returning d3d_display: 00223FE0
d3d      D         d3d_disp.cpp:1744 d3d_create_display_locked        [   0.08471] al_display=00223FE0
d3d      D         d3d_disp.cpp:1745 d3d_create_display_locked        [   0.08472] al_display->vt=00221C88
dtor     D               dtor.c:184  _al_register_destructor          [   0.08563] added dtor for object 00229478, func 0F1C24DC
font     D                ttf.c:786  al_load_ttf_font_stretch_f       [   0.08649] Font arial.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:788  al_load_ttf_font_stretch_f       [   0.08652]     ascent=16.0, descent=-4.0, height=21.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.08654] added dtor for object 058D1308, func 0F1C1B63
dtor     D               dtor.c:184  _al_register_destructor          [   0.08658] added dtor for object 058D13A0, func 0F1C27AC
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11896] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11900] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11901] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11902] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11904] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11905] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11907] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11909] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.11910] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.11912] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.11913] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.11915] Found a format
d3d      I         d3d_disp.cpp:2289 _al_d3d_create_bitmap            [   0.11916] Chose bitmap format 9
font     D                ttf.c:216  alloc_glyph_region               [   0.11995] glyph 11x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.14385] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.14394] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.15192] glyph 12x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.15207] glyph 12x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.15214] glyph 4x12 (4x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.15223] glyph 11x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16464] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16471] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.16527] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16539] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16542] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.16615] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.16618] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.37084] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.37119] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.37126] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.37230] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.37346] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.37359] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   9.98750] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [  10.03646] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [  10.03656] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [  10.03831] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [  10.03839] _al_d3d_sync_bitmap (video) ref count == 2
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [  21.62284] destroying display 00223FE0 (current 00000000)
bitmap   D             bitmap.c:874  _al_convert_to_memory_bitmap     [  21.62310] converting display bitmap 058D5630 to memory bitmap
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [  21.62330] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [  21.62332] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [  21.62383] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [  21.62391] waiting for display 00223FE0's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [  21.62705] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1522 d3d_display_thread_proc          [  21.63714] d3d display thread exits
dtor     D               dtor.c:114  _al_run_destructors              [  21.63720] calling dtor for object 058D13A0, func 0F1C27AC
dtor     D               dtor.c:214  _al_unregister_destructor        [  21.63723] removed dtor for object 058D13A0
dtor     D               dtor.c:114  _al_run_destructors              [  21.63726] calling dtor for object 058D1308, func 0F1C1B63
dtor     D               dtor.c:214  _al_unregister_destructor        [  21.63727] removed dtor for object 058D1308
dtor     D               dtor.c:114  _al_run_destructors              [  21.63781] calling dtor for object 00229478, func 0F1C24DC
dtor     D               dtor.c:214  _al_unregister_destructor        [  21.65352] removed dtor for object 00229478
